INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,Hour,BORO,STATISTICAL_MURDER_FLAG,Latitude,Longitude,Incidents1,NonMurders1,Murders1,Incidents2,Victims2,Mass2,Victims3,Mass3,MonYr,MonYrAxis,MonthNum,YearNum,firstAppear,Num_Vic,Odd_Even_Vic
80881721,9/25/2011,1:39:00,1 AM,BRONX,FALSE,40.82743355,-73.86822579,1,1,0,1,1,1,0,0,9/1/2011,40787,9,11,1,4,FALSE
80938321,9/28/2011,17:39:00,5 PM,MANHATTAN,FALSE,40.80130288,-73.93610756,1,1,0,1,1,1,1,1,9/1/2011,40787,9,11,1,6,FALSE
80989164,9/30/2011,19:23:00,7 PM,BRONX,FALSE,40.85776982,-73.89460746,1,1,0,1,1,1,1,1,9/1/2011,40787,9,11,1,4,FALSE
80990271,10/2/2011,7:52:00,7 AM,BROOKLYN,TRUE,40.68295412,-73.90857801,1,0,1,1,1,1,1,0,10/1/2011,40817,10,11,1,4,FALSE
81182107,10/13/2011,15:36:00,3 PM,BROOKLYN,FALSE,40.67539659,-73.88551152,1,1,0,1,1,1,0,0,10/1/2011,40817,10,11,1,4,FALSE
81242424,10/17/2011,18:38:00,6 PM,BROOKLYN,FALSE,40.69075489,-73.95681565,1,1,0,1,1,1,0,0,10/1/2011,40817,10,11,1,4,FALSE
81308610,10/21/2011,14:33:00,2 PM,BROOKLYN,TRUE,40.67010465,-73.90796996,1,0,1,1,1,1,1,1,10/1/2011,40817,10,11,1,8,FALSE
81701068,11/15/2011,2:23:00,2 AM,MANHATTAN,TRUE,40.74707493,-74.00668081,1,0,1,1,1,1,1,0,11/1/2011,40848,11,11,1,6,FALSE
81778269,11/18/2011,15:03:00,3 PM,BROOKLYN,TRUE,40.63360565,-73.91369976,1,0,1,1,1,1,1,0,11/1/2011,40848,11,11,1,4,FALSE
82010445,12/4/2011,16:33:00,4 PM,BROOKLYN,TRUE,40.64922474,-73.92042277,1,0,1,1,1,1,1,0,12/1/2011,40878,12,11,1,4,FALSE
82027582,12/5/2011,8:53:00,8 AM,QUEENS,FALSE,40.77249061,-73.90786864,1,1,0,1,1,1,0,0,12/1/2011,40878,12,11,1,4,FALSE
82124624,12/11/2011,4:00:00,4 AM,BRONX,TRUE,40.80978301,-73.88091635,1,0,1,1,1,1,1,0,12/1/2011,40878,12,11,1,4,FALSE
82143106,12/12/2011,21:01:00,9 PM,MANHATTAN,TRUE,40.78872009,-73.93999542,1,0,1,1,1,1,1,1,12/1/2011,40878,12,11,1,4,FALSE
82361864,12/27/2011,2:16:00,2 AM,BRONX,FALSE,40.81133703,-73.91703348,1,1,0,1,1,1,1,1,12/1/2011,40878,12,11,1,4,FALSE
82411147,12/31/2011,1:50:00,1 AM,BRONX,TRUE,40.85776982,-73.89460746,1,0,1,1,1,1,1,1,12/1/2011,40878,12,11,1,8,FALSE
82485719,1/5/2012,14:22:00,2 PM,MANHATTAN,FALSE,40.81113131,-73.93671563,1,1,0,1,1,1,1,1,1/1/2012,40909,1,12,1,6,FALSE
82537070,1/8/2012,18:15:00,6 PM,BRONX,FALSE,40.84540068,-73.8810717,1,1,0,1,1,1,0,0,1/1/2012,40909,1,12,1,4,FALSE
82565818,1/10/2012,16:52:00,4 PM,MANHATTAN,FALSE,40.7970891,-73.94275039,1,1,0,1,1,1,1,1,1/1/2012,40909,1,12,1,4,FALSE
83005768,2/5/2012,1:15:00,1 AM,QUEENS,FALSE,40.67604659,-73.79034331,1,1,0,1,1,1,0,0,2/1/2012,40940,2,12,1,4,FALSE
83243668,2/18/2012,3:58:00,3 AM,BRONX,TRUE,40.81608783,-73.8958248,1,0,1,1,1,1,1,0,2/1/2012,40940,2,12,1,4,FALSE
83719889,3/17/2012,7:00:00,7 AM,BRONX,FALSE,40.85328138,-73.8858709,1,1,0,1,1,1,0,0,3/1/2012,40969,3,12,1,4,FALSE
83732961,3/18/2012,5:25:00,5 AM,QUEENS,FALSE,40.67344168,-73.80359524,1,1,0,1,1,1,0,0,3/1/2012,40969,3,12,1,4,FALSE
83751047,3/19/2012,14:29:00,2 PM,MANHATTAN,FALSE,40.8135746,-73.95132518,1,1,0,1,1,1,1,1,3/1/2012,40969,3,12,1,4,FALSE
83782601,3/20/2012,19:55:00,7 PM,BROOKLYN,TRUE,40.67341596,-73.93347088,1,0,1,1,1,1,1,0,3/1/2012,40969,3,12,1,4,FALSE
84205617,4/14/2012,0:51:00,12 AM,BRONX,FALSE,40.81683774,-73.86428738,1,1,0,1,1,1,0,0,4/1/2012,41000,4,12,1,4,FALSE
84205618,4/14/2012,1:05:00,1 AM,QUEENS,FALSE,40.64554292,-73.74459606,1,1,0,1,1,1,1,1,4/1/2012,41000,4,12,1,4,FALSE
84352571,4/22/2012,22:50:00,10 PM,BROOKLYN,TRUE,40.67621874,-73.92336776,1,0,1,1,1,1,1,0,4/1/2012,41000,4,12,1,4,FALSE
84371227,4/24/2012,3:27:00,3 AM,MANHATTAN,FALSE,40.82988338,-73.93675968,1,1,0,1,1,1,0,0,4/1/2012,41000,4,12,1,4,FALSE
84452449,4/29/2012,4:56:00,4 AM,BROOKLYN,FALSE,40.70428341,-73.94096295,1,1,0,1,1,1,1,1,4/1/2012,41000,4,12,1,4,FALSE
84562905,5/5/2012,4:31:00,4 AM,STATEN ISLAND,TRUE,40.6319395,-74.16347158,1,0,1,1,1,1,1,0,5/1/2012,41030,5,12,1,4,FALSE
84701796,5/13/2012,2:30:00,2 AM,BRONX,FALSE,40.84575241,-73.92192393,1,1,0,1,1,1,0,0,5/1/2012,41030,5,12,1,4,FALSE
84854142,5/21/2012,19:31:00,7 PM,BROOKLYN,FALSE,40.66821514,-73.93117782,1,1,0,1,1,1,1,1,5/1/2012,41030,5,12,1,4,FALSE
84945936,5/26/2012,2:28:00,2 AM,BRONX,FALSE,40.84176445,-73.85220618,1,1,0,1,1,1,0,0,5/1/2012,41030,5,12,1,4,FALSE
84956713,5/26/2012,2:45:00,2 AM,BRONX,TRUE,40.83263068,-73.88844356,1,0,1,1,1,1,1,0,5/1/2012,41030,5,12,1,4,FALSE
85065261,6/2/2012,22:42:00,10 PM,BROOKLYN,TRUE,40.68239113,-73.90564187,1,0,1,1,1,1,1,0,6/1/2012,41061,6,12,1,4,FALSE
85066514,6/3/2012,16:51:00,4 PM,MANHATTAN,TRUE,40.81092012,-73.94504392,1,0,1,1,1,1,1,0,6/1/2012,41061,6,12,1,4,FALSE
85094886,6/5/2012,3:30:00,3 AM,BROOKLYN,TRUE,40.65394762,-73.88777332,1,0,1,1,1,1,1,0,6/1/2012,41061,6,12,1,4,FALSE
85209345,6/12/2012,2:37:00,2 AM,BRONX,FALSE,40.88605284,-73.86144498,1,1,0,1,1,1,1,1,6/1/2012,41061,6,12,1,4,FALSE
85491311,6/28/2012,23:29:00,11 PM,BROOKLYN,TRUE,40.66542842,-73.92184437,1,0,1,1,1,1,1,0,6/1/2012,41061,6,12,1,4,FALSE
85518944,6/30/2012,4:46:00,4 AM,QUEENS,FALSE,40.71179529,-73.74565068,1,1,0,1,1,1,0,0,6/1/2012,41061,6,12,1,4,FALSE
85538929,7/2/2012,2:40:00,2 AM,QUEENS,FALSE,40.59288567,-73.79565279,1,1,0,1,1,1,1,1,7/1/2012,41091,7,12,1,4,FALSE
85643661,7/7/2012,3:40:00,3 AM,BROOKLYN,TRUE,40.67658467,-74.01110429,1,0,1,1,1,1,1,0,7/1/2012,41091,7,12,1,4,FALSE
85744760,7/15/2012,2:21:00,2 AM,BRONX,FALSE,40.8178606,-73.85404649,1,1,0,1,1,1,0,0,7/1/2012,41091,7,12,1,4,FALSE
85875439,7/22/2012,21:35:00,9 PM,BRONX,FALSE,40.82487782,-73.90317908,1,1,0,1,1,1,0,1,7/1/2012,41091,7,12,1,12,FALSE
85910307,7/24/2012,19:33:00,7 PM,BROOKLYN,TRUE,40.67081798,-73.93510873,1,0,1,1,1,1,1,0,7/1/2012,41091,7,12,1,4,FALSE
85980014,7/29/2012,18:55:00,6 PM,BROOKLYN,FALSE,40.67113,-73.91350205,1,1,0,1,1,1,1,1,7/1/2012,41091,7,12,1,12,FALSE
86071518,8/2/2012,18:15:00,6 PM,MANHATTAN,FALSE,40.79772627,-73.94650651,1,1,0,1,1,1,1,1,8/1/2012,41122,8,12,1,4,FALSE
86374478,8/21/2012,22:45:00,10 PM,QUEENS,FALSE,40.75838482,-73.83361056,1,1,0,1,1,1,0,0,8/1/2012,41122,8,12,1,4,FALSE
86415278,8/23/2012,13:22:00,1 PM,BRONX,TRUE,40.82766957,-73.92543702,1,0,1,1,1,1,1,0,8/1/2012,41122,8,12,1,4,FALSE
86415277,8/23/2012,21:03:00,9 PM,MANHATTAN,TRUE,40.8022927,-73.94528131,1,0,1,1,1,1,1,1,8/1/2012,41122,8,12,1,8,FALSE
86437258,8/26/2012,1:05:00,1 AM,BRONX,TRUE,40.85795235,-73.86323195,1,0,1,1,1,1,1,1,8/1/2012,41122,8,12,1,12,FALSE
86469571,8/27/2012,23:55:00,11 PM,QUEENS,FALSE,40.69713212,-73.76792916,1,1,0,1,1,1,1,1,8/1/2012,41122,8,12,1,4,FALSE
86520723,8/30/2012,21:05:00,9 PM,BROOKLYN,FALSE,40.65495199,-73.958,1,1,0,1,1,1,0,0,8/1/2012,41122,8,12,1,6,FALSE
